NoteID	Front	Back	Source Document	Source Location	Verification Notes	Tags
lim-alt-002	Maximum takeoff and landing altitude?	8400 feet	B737 AOM Rev 9.0	Ch 18 §18.2.1 Altitude Limits	Verified against AOM §18.2.1	verified common limits verbatim
lim-alt-003	Maximum operating altitude with flaps and/or slats extended?	20,000 feet	B737 AOM Rev 9.0	Ch 18 §18.2.1 Altitude Limits	Verified against AOM §18.2.1 (boldface item)	verified common limits verbatim boldface
lim-apu-001	APU starter duty cycle / starter limit?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.7.1 Starter Limit		unverified common limits verbatim boldface-pending
lim-eng-001	Maximum engine start EGT limit?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.10.3 Temperature and Time Limits		unverified common limits verbatim boldface-pending
lim-eng-002	Maximum continuous thrust / N1 limit reference (as stated in limitations)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.10 Engines (specific subsection)		unverified common limits verbatim boldface-pending
lim-fuel-001	Minimum fuel temperature limit?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.14.2 Fuel Temperature		unverified common limits verbatim boldface-pending
lim-fuel-002	Fuel imbalance limit?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.14.4 Fuel Imbalance		unverified common limits verbatim boldface-pending
lim-ice-001	Definition of icing conditions (as stated in limitations)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.5.1 Definition of Icing Conditions		unverified common limits verbatim boldface-pending
lim-ice-002	Engine anti-ice usage limitation (as stated in limitations)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.5.2 Anti-Ice Systems		unverified common limits verbatim boldface-pending
lim-o2-001	Minimum flight crew oxygen pressure?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.3.5 Minimum Flight Crew Oxygen Pressure		unverified common limits verbatim boldface-pending
lim-op-001	Maximum operating altitude?	41,000 feet	B737 AOM Rev 9.0	Ch 18 §18.2.1 Altitude Limits	Verified against AOM §18.2.1	verified common limits verbatim
lim-op-002	Maximum operating speed (VMO/MMO)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.2.2 Speed Limits		unverified common limits verbatim boldface-pending
lim-op-003	Maximum Mach (MMO)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.2.2 Speed Limits		unverified common limits verbatim boldface-pending
lim-op-004	Maximum flap extension speed — Flaps 1?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.11.1 Flaps		unverified common limits verbatim boldface-pending
lim-op-005	Maximum flap extension speed — Flaps 5?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.11.1 Flaps		unverified common limits verbatim boldface-pending
lim-op-006	Maximum flap extension speed — Flaps 10?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.11.1 Flaps		unverified common limits verbatim boldface-pending
lim-op-007	Maximum flap extension speed — Flaps 15?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.11.1 Flaps		unverified common limits verbatim boldface-pending
lim-op-008	Maximum flap extension speed — Flaps 25?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.11.1 Flaps		unverified common limits verbatim boldface-pending
lim-op-009	Maximum flap extension speed — Flaps 30?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.11.1 Flaps		unverified common limits verbatim boldface-pending
lim-op-010	Maximum flap extension speed — Flaps 40?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.11.1 Flaps		unverified common limits verbatim boldface-pending
lim-op-011	Maximum landing gear extension speed (VLO EXT)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.15.1 Landing Gear		unverified common limits verbatim boldface-pending
lim-op-012	Maximum landing gear extended speed (VLO)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.15.1 Landing Gear		unverified common limits verbatim boldface-pending
lim-op-013	Maximum landing gear retraction speed?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.15.1 Landing Gear		unverified common limits verbatim boldface-pending
lim-op-014	Maximum takeoff weight (structural) — B737-800?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.2.3 Weight Limits		unverified common limits verbatim boldface-pending
lim-op-015	Maximum taxi weight (structural) — B737-800?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.2.3 Weight Limits		unverified common limits verbatim boldface-pending
lim-op-016	Maximum landing weight (structural) — B737-800?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.2.3 Weight Limits		unverified common limits verbatim boldface-pending
lim-op-017	Maximum zero fuel weight (structural) — B737-800?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.2.3 Weight Limits		unverified common limits verbatim boldface-pending
lim-op-018	Maximum demonstrated crosswind — takeoff/landing (dry)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.2.4 Wind Limits		unverified common limits verbatim boldface-pending
lim-op-019	Maximum tailwind component — takeoff?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.2.4 Wind Limits		unverified common limits verbatim boldface-pending
lim-op-020	Maximum tailwind component — landing?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.2.4 Wind Limits		unverified common limits verbatim boldface-pending
lim-operating-001	Maximum Operating Altitude?	TEST-VALUE	B737 AOM Rev 9.0	Chapter 18 – Limitations – Operating Limits (verify exact section & page)		unverified common limits verbatim
lim-operating-002	Maximum Operating Speed (VMO/MMO)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Chapter 18 – Limitations – Airspeed Limits (verify exact section & page)		unverified common limits verbatim
lim-operating-003	Maximum Takeoff Weight (Structural)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Chapter 18 – Limitations – Weight Limits (verify exact section & page)		unverified common limits verbatim
lim-operating-004	Maximum Landing Weight (Structural)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Chapter 18 – Limitations – Weight Limits (verify exact section & page)		unverified common limits verbatim
lim-operating-005	Flaps 15 Maximum Speed?	[VERIFY VALUE]	B737 AOM Rev 9.0	Chapter 18 – Limitations – Flap Operating Speeds (verify exact section & page)		unverified common limits verbatim
lim-press-001	Maximum cabin altitude (pressurization limit)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.4.2 Pressurization		unverified common limits verbatim boldface-pending
lim-rvsm-001	Maximum allowable in-flight difference between captain and FO altitude displays (RVSM)?	200 feet	B737 AOM Rev 9.0	Ch 18 §18.2.1 RVSM Altimeter Tolerances	Verified against AOM §18.2.1	verified common limits verbatim
lim-rvsm-002	Maximum on-ground difference between captain and FO altitude displays (sea level to 5000 ft, RVSM)?	50 feet	B737 AOM Rev 9.0	Ch 18 §18.2.1 RVSM Altimeter Tolerances	Verified against AOM §18.2.1	verified common limits verbatim
lim-rvsm-003	Maximum on-ground difference between captain and FO altitude displays (5001 ft to 10,000 ft, RVSM)?	60 feet	B737 AOM Rev 9.0	Ch 18 §18.2.1 RVSM Altimeter Tolerances	Verified against AOM §18.2.1	verified common limits verbatim
lim-rvsm-004	Maximum on-ground difference between captain/FO altitude display and field elevation (RVSM)?	75 feet	B737 AOM Rev 9.0	Ch 18 §18.2.1 RVSM Altimeter Tolerances	Verified against AOM §18.2.1	verified common limits verbatim
lim-spd-001	Maximum operating airspeed (VMO)?	340 knots	B737 AOM Rev 9.0	Ch 18 §18.2.2 Speed Limits	Review against AOM §18.2.2	verified common limits verbatim boldface
lim-spd-002	Maximum operating Mach number (MMO)?	.82 Mach	B737 AOM Rev 9.0	Ch 18 §18.2.2 Speed Limits	Review against AOM §18.2.2	verified common limits verbatim boldface
lim-spd-003	Severe turbulence air penetration speed?	280 knots / .76 Mach	B737 AOM Rev 9.0	Ch 18 §18.2.2 Speed Limits	Review against AOM §18.2.2	verified common limits verbatim boldface
lim-spd-004	Maximum gear extension speed (VLO)?	270 knots / .82 Mach	B737 AOM Rev 9.0	Ch 18 §18.2.2 Speed Limits	Review against AOM §18.2.2	unverified common limits verbatim boldface-pending
lim-spd-005	Maximum gear extended speed (VLE)?	320 knots / .82 Mach	B737 AOM Rev 9.0	Ch 18 §18.2.2 Speed Limits	Review against AOM §18.2.2	unverified common limits verbatim boldface-pending
lim-spd-006	Maximum gear retraction speed (VLO)?	235 knots	B737 AOM Rev 9.0	Ch 18 §18.2.2 Speed Limits	Review against AOM §18.2.2	unverified common limits verbatim boldface-pending
lim-spdb-001	Speedbrake limitation (as stated in limitations)?	[VERIFY VALUE]	B737 AOM Rev 9.0	Ch 18 §18.11.3 Speedbrakes		unverified common limits verbatim boldface-pending
